,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),Source
55,2a5844fd59494fb59f4554a0bdce71db,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.024024470275002943,,[Cl-].[K+],Solvent,0.017271366121497444,,O,Solvent,0.9587041636034996,,0.893,0.0055,,,10.1016/j.jct.2013.08.018
56,3766a253f01a43279db3e0753e1189b4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027668657735994705,,[Cl-].[K+],Solvent,0.017206876701489245,,O,Solvent,0.9551244655625161,,0.892,0.0055,,,10.1016/j.jct.2013.08.018
57,96515bede63b4bb598e8dc938cac7ab4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.030986722441815582,,[Cl-].[K+],Solvent,0.017148158517883556,,O,Solvent,0.9518651190403009,,0.889,0.0055,,,10.1016/j.jct.2013.08.018
58,192fc483ec5b47b392370ec4d5be4f62,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03421619811890453,,[Cl-].[K+],Solvent,0.017091008051400864,,O,Solvent,0.9486927938296946,,0.885,0.0055,,,10.1016/j.jct.2013.08.018
59,9fa1854701924b9bb5bb95910f2ddfc3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0371453938559213,,[Cl-].[K+],Solvent,0.017039171493541876,,O,Solvent,0.9458154346505367,,0.902,0.0055,,,10.1016/j.jct.2013.08.018
60,238c1e14a50645d188f718964e3df31d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04401940138366541,,[Cl-].[K+],Solvent,0.016917525512553964,,O,Solvent,0.9390630731037807,,0.892,0.0055,,,10.1016/j.jct.2013.08.018
61,a4831007cbe247bf971198a9188a15c8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.05023757422036536,,[Cl-].[K+],Solvent,0.016807485520363118,,O,Solvent,0.9329549402592715,,0.888,0.0055,,,10.1016/j.jct.2013.08.018
62,c2b58a83f3ce47cf8807b8b4142ab999,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.05127477682944985,,O,Solvent,0.9487252231705502,,,,,,0.938,0.005,,,10.1016/j.jct.2013.08.018
63,0d9f389555a34a17be608313fa24e8d4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876007,,[Cl-].[K+],Solvent,0.051100100413140094,,O,Solvent,0.9454932262259838,,0.938,0.005,,,10.1016/j.jct.2013.08.018
64,6f1193a74251423797114b89e4574cd5,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.006756492995090925,,[Cl-].[K+],Solvent,0.050928339158976814,,O,Solvent,0.9423151678459323,,0.938,0.005,,,10.1016/j.jct.2013.08.018
65,4091708ff62a4a589b84d492f642f44d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010117364899622505,,[Cl-].[K+],Solvent,0.050756011202119596,,O,Solvent,0.9391266238982579,,0.941,0.005,,,10.1016/j.jct.2013.08.018
66,4c16d2389480470f887946a0928259bb,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.013538735563814812,,[Cl-].[K+],Solvent,0.05058058118486231,,O,Solvent,0.9358806832513229,,0.932,0.005,,,10.1016/j.jct.2013.08.018
67,342a4442e399478fa6bc9f88ca5b6db1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.016886981704757165,,[Cl-].[K+],Solvent,0.05040890061121542,,O,Solvent,0.9327041176840273,,0.93,0.005,,,10.1016/j.jct.2013.08.018
68,97fe92582a744837adf987959569b000,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020097708524038575,,[Cl-].[K+],Solvent,0.050244271310096435,,O,Solvent,0.9296580201658649,,0.944,0.005,,,10.1016/j.jct.2013.08.018
69,cd48527052084e86861bf22c5f7155fc,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02333644393754462,,[Cl-].[K+],Solvent,0.05007820587455928,,O,Solvent,0.9265853501878961,,0.934,0.005,,,10.1016/j.jct.2013.08.018
70,05e06d42541d44578c2868af6cbf7fb6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027023296796709725,,[Cl-].[K+],Solvent,0.04988916331700257,,O,Solvent,0.9230875398862878,,0.938,0.005,,,10.1016/j.jct.2013.08.018
71,f1d60ec50dc04bb1abbc37dcd3a84f6b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02989489556144929,,[Cl-].[K+],Solvent,0.049741922731196826,,O,Solvent,0.9203631817073539,,0.931,0.005,,,10.1016/j.jct.2013.08.018
72,f8c67b6f044b461b92c5c473bdaedc41,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03326101746538239,,[Cl-].[K+],Solvent,0.04956932558179193,,O,Solvent,0.9171696569528257,,0.942,0.005,,,10.1016/j.jct.2013.08.018
73,c159a0547a94425587fabfe6667f9b28,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04110377096247414,,[Cl-].[K+],Solvent,0.049167190146500166,,O,Solvent,0.9097290388910256,,0.931,0.005,,,10.1016/j.jct.2013.08.018
74,fefb4182ae1849a6b7c4678c5bea39c0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.048943990325415444,,[Cl-].[K+],Solvent,0.048765184648371415,,O,Solvent,0.902290825026213,,0.941,0.005,,,10.1016/j.jct.2013.08.018
75,e6ae04ba8bdc4f3f8690883d52f0b692,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389117,,,,,,0.895,0.0055,,,10.1016/j.jct.2013.08.018
76,f983912a5b5b4d508080b0975b30f36e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007091155086769293,,O=[N+]([O-])[O-].[Na+],Solvent,0.008863943858461615,,O,Solvent,0.9840449010547692,,0.883,0.0055,,,10.1016/j.jct.2013.08.018
77,80a25c54e9734fa4abc47d4b38db39f7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014082449341258152,,O=[N+]([O-])[O-].[Na+],Solvent,0.008801530838286345,,O,Solvent,0.9771160198204556,,0.872,0.0055,,,10.1016/j.jct.2013.08.018
78,5453f6b5a56841e48260bea2734b9cf1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.022684323407527483,,O=[N+]([O-])[O-].[Na+],Solvent,0.008724739772125956,,O,Solvent,0.9685909368203466,,0.873,0.0055,,,10.1016/j.jct.2013.08.018
79,903bdf0c378343a89c78c48dd187f656,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.031137397489377373,,O=[N+]([O-])[O-].[Na+],Solvent,0.008649277080382604,,O,Solvent,0.9602133254302401,,0.854,0.0055,,,10.1016/j.jct.2013.08.018
80,138b7b7fa9104ab2838e988911d8c242,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,0.865,0.0055,,,10.1016/j.jct.2013.08.018
81,171883cdd11a4f14aa71d45395f1836a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,O=[N+]([O-])[O-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,0.86,0.0055,,,10.1016/j.jct.2013.08.018
