Id,Temperature (K),Pressure (kPa),N Components,Component 1,IUPAC1,Role 1,Mole Fraction 1,Component 2,IUPAC2,Role 2,Mole Fraction 2,Component 3,IUPAC3,Role 3,Mole Fraction 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
a4831007cbe247bf971198a9188a15c8,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0502375742203653,[Cl-].[K+],potassium;chloride,Solvent,0.0168074855203631,O,oxidane,Solvent,0.9329549402592716,0.888,0.0055,10.1016/j.jct.2013.08.018
c2b58a83f3ce47cf8807b8b4142ab999,298.15,101.0,2,[Cl-].[K+],potassium;chloride,Solvent,0.0512747768294498,O,oxidane,Solvent,0.9487252231705502,,,,,0.938,0.005,10.1016/j.jct.2013.08.018
0d9f389555a34a17be608313fa24e8d4,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.003406673360876,[Cl-].[K+],potassium;chloride,Solvent,0.05110010041314,O,oxidane,Solvent,0.9454932262259838,0.938,0.005,10.1016/j.jct.2013.08.018
6f1193a74251423797114b89e4574cd5,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0067564929950909,[Cl-].[K+],potassium;chloride,Solvent,0.0509283391589768,O,oxidane,Solvent,0.9423151678459324,0.938,0.005,10.1016/j.jct.2013.08.018
4091708ff62a4a589b84d492f642f44d,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0101173648996225,[Cl-].[K+],potassium;chloride,Solvent,0.0507560112021195,O,oxidane,Solvent,0.939126623898258,0.941,0.005,10.1016/j.jct.2013.08.018
4c16d2389480470f887946a0928259bb,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0135387355638148,[Cl-].[K+],potassium;chloride,Solvent,0.0505805811848623,O,oxidane,Solvent,0.9358806832513228,0.932,0.005,10.1016/j.jct.2013.08.018
342a4442e399478fa6bc9f88ca5b6db1,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0168869817047571,[Cl-].[K+],potassium;chloride,Solvent,0.0504089006112154,O,oxidane,Solvent,0.9327041176840272,0.93,0.005,10.1016/j.jct.2013.08.018
97fe92582a744837adf987959569b000,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0200977085240385,[Cl-].[K+],potassium;chloride,Solvent,0.0502442713100964,O,oxidane,Solvent,0.9296580201658649,0.944,0.005,10.1016/j.jct.2013.08.018
cd48527052084e86861bf22c5f7155fc,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0233364439375446,[Cl-].[K+],potassium;chloride,Solvent,0.0500782058745592,O,oxidane,Solvent,0.926585350187896,0.934,0.005,10.1016/j.jct.2013.08.018
05e06d42541d44578c2868af6cbf7fb6,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0270232967967097,[Cl-].[K+],potassium;chloride,Solvent,0.0498891633170025,O,oxidane,Solvent,0.9230875398862878,0.938,0.005,10.1016/j.jct.2013.08.018
f1d60ec50dc04bb1abbc37dcd3a84f6b,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0298948955614492,[Cl-].[K+],potassium;chloride,Solvent,0.0497419227311968,O,oxidane,Solvent,0.920363181707354,0.931,0.005,10.1016/j.jct.2013.08.018
f8c67b6f044b461b92c5c473bdaedc41,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0332610174653823,[Cl-].[K+],potassium;chloride,Solvent,0.0495693255817919,O,oxidane,Solvent,0.9171696569528256,0.942,0.005,10.1016/j.jct.2013.08.018
c159a0547a94425587fabfe6667f9b28,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0411037709624741,[Cl-].[K+],potassium;chloride,Solvent,0.0491671901465001,O,oxidane,Solvent,0.9097290388910256,0.931,0.005,10.1016/j.jct.2013.08.018
fefb4182ae1849a6b7c4678c5bea39c0,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0489439903254154,[Cl-].[K+],potassium;chloride,Solvent,0.0487651846483714,O,oxidane,Solvent,0.902290825026213,0.941,0.005,10.1016/j.jct.2013.08.018
e6ae04ba8bdc4f3f8690883d52f0b692,298.15,101.0,2,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0089272483610882,O,oxidane,Solvent,0.9910727516389116,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
f983912a5b5b4d508080b0975b30f36e,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0070911550867692,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0088639438584616,O,oxidane,Solvent,0.9840449010547692,0.883,0.0055,10.1016/j.jct.2013.08.018
80a25c54e9734fa4abc47d4b38db39f7,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0140824493412581,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0088015308382863,O,oxidane,Solvent,0.9771160198204556,0.872,0.0055,10.1016/j.jct.2013.08.018
5453f6b5a56841e48260bea2734b9cf1,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0226843234075274,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0087247397721259,O,oxidane,Solvent,0.9685909368203466,0.873,0.0055,10.1016/j.jct.2013.08.018
903bdf0c378343a89c78c48dd187f656,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0311373974893773,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0086492770803826,O,oxidane,Solvent,0.96021332543024,0.854,0.0055,10.1016/j.jct.2013.08.018
138b7b7fa9104ab2838e988911d8c242,298.15,101.0,2,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0176965155328884,O,oxidane,Solvent,0.9823034844671116,,,,,0.865,0.0055,10.1016/j.jct.2013.08.018
171883cdd11a4f14aa71d45395f1836a,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.003526820619403,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0176341030970154,O,oxidane,Solvent,0.9788390762835814,0.86,0.0055,10.1016/j.jct.2013.08.018
dfe8eacddacf4c9bba64d6cca5fbb83d,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0070288517395603,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0175721293489009,O,oxidane,Solvent,0.9753990189115388,0.85,0.0055,10.1016/j.jct.2013.08.018
9e68ac1429f646c5a928dde7f8e356ca,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0139595836354015,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0174494795442519,O,oxidane,Solvent,0.9685909368203466,0.861,0.0055,10.1016/j.jct.2013.08.018
5f3372d289da4a4c8d8e797bcdfec674,298.15,101.0,2,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0176965155328884,O,oxidane,Solvent,0.9823034844671116,,,,,0.854,0.0055,10.1016/j.jct.2013.08.018
1e41dddf08c7445cb515dd1d57db3d93,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.003526820619403,O=[N+]([O-])[O-].[Na+],sodium;nitrate,Solvent,0.0176341030970154,O,oxidane,Solvent,0.9788390762835814,0.834,0.006,10.1016/j.jct.2013.08.018
