Mixture,Count
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F | O,13
Cc1ccccc1N | Cc1ccc(C)cc1,14
C1COCCO1 | CCCCCCCC,19
C[C@@H]1COC(=O)O1 | C[C@H]1COC(=O)O1,76
COC=O | ClCCCCl,16
C=C(C)C=O | c1ccccc1,10
BrCBr | C1COCCO1,9
CCOC(C)=O | CCCCCCCCCCCCC,19
COC(=O)OC | CO,18
Cc1cnccn1 | CCCCCCC,10
COC(C)(C)C | CCCCCO | CCCCCCCCC,52
CN(C)CCO | CO,49
CCCCOC=O | CCCCCCCCC,32
CCOC(C)(C)C | CCCCCCC,37
CCCO | CC1CCCCC1,37
O=[N+]([O-])c1ccccc1 | CCCCCC,5
COP(=O)(OC)OC | CCO,18
BrCCBr | CCCCOC(=O)CCC,12
CCCCCCCCCCCCCCC | CCCCOC(=O)CC,18
CC(=O)OC(C)=O | CC(=O)O | CCOC(C)=O,19
CCOC=O | ClCCCCl,16
CCO | C1CCOCC1,19
CC(C)(C)O | CCCCOC(=O)CCC,34
OCc1ccccc1 | CCCCO,9
CCOC(=O)OCC | CCCO,16
C1CCOCC1 | Cc1cccnc1,18
CCCOC(C)=O | CCCCCCCCCC,44
CCCCCCCCCCCC | CCOC(C)=O,18
CCOC(C)=O | CCCCCCCCCCCCCCCCC,20
CN1CCNCC1 | O,51
Cc1ccccc1N | c1ccccc1,14
C=CCCCC | COC(C)(C)C,9
CCCCCCCCO | CCCCCCCCCCCC,18
O=Cc1ccccc1 | CO,12
CCCOC(=O)CC | CCCCCC | Cc1ccccc1,52
CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-] | O,88
C=C(C)CC(C)(C)C | CO,10
CCCCCCCCCCCCCCC | CCCCCOC(=O)CC,16
CCCCCC(=O)CC | CCCCCCCCCCCCCCCC,52
CCOC(=O)CC | CCCCCCCCCCCCC,18
C1CCCCC1 | C1COCCO1,9
CCO | CC(C)=O,19
CCCCCCCCCCCCCCCCC | CCCCCOC(=O)CC,15
c1ccccc1 | Clc1ccccc1,15
CCO | c1ccncc1 | [Cl-].[Na+],12
CC#N | CCCCCO,75
CCOC(=O)CC(=O)OCC | CCCCO,113
c1ccccc1 | ClCCCc1ccccc1,12
CC(=O)N(C)C | CCCCN,17
CCCCCCCCC(C)=O | CCCCCCCCCCCC,59
OC1=NCCC1 | O,18
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,47
O | CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,24
Cc1cncc(C)c1 | Cc1ccccc1,7
CCCCCCCCCCCCCC,1
C1CCOCC1 | c1ccncc1,18
CCCC(=O)OCC | ClCCCCCCl,17
CCOC(C)=O | ClCCCCCCCl,14
CCN(CC)CCCN | CCCCCCCCCCCC,12
c1ccccc1 | C1CCCCC1,15
CCOC(C)=O | CCCCCCCCCCC,17
CCO | OCCOCCO,9
CCCCCO,9
BrCCCCBr | CCOC(=O)CC,17
CN1CCCC1=O | ClCCCCCCCl,24
CCCCO | CCCCCC | CCCCCCCCN(CCCCCCCC)CCCCCCCC,46
C1CCOCC1 | C1COCCO1,9
C1CCCCC1 | CCOC(C)(C)C,38
C1CCOC1 | C1CCCCC1,19
c1ccccc1 | CCCCCCCl,29
O=Cc1ccccc1 | CCO,12
CCCCOCCCC | CC(C)CC(C)(C)C,38
CC(C)CC(C)(C)C | CCCCO,19
C1CCOCC1 | CCCCCO,9
CC(=O)N(C)C | CCCCNCCCC,19
CCCOC(C)=O | CCCCCCC,31
CCCCOC=O | BrCCCCCBr,12
CCO | OCCOCCOCCO,9
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,10
CS(C)=O | Cc1ccccc1,16
CN(C)CCCO | O,20
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,18
CCCCOCCCC | C=CCCCC,37
CC(=O)OCCOC(C)=O | OCCO,19
COC=O | CCCCCCCCCC,18
CCCCC(=O)OC | CCCCCCCC,19
CCCOC=O | CCCCCCCCC,32
C1CCCCC1 | C1CCOCC1 | C1COCCO1,27
CN1CCCC1=O | CCCCCCCl,23
CC(=O)N(C)C | ClCCCCCCCl,22
CC(=O)CC(C)=O | O,30
BrCBr | CCC(C)=O,9
C1COCCO1 | O=C1CCCC1,17
CCCCO,1
CCCCO | Cc1ccccc1,38
C1CCCC1 | CCCCCO,10
O | CCCC(=O)OC,44
CCCCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
BrCCCBr | CCCCOC(=O)CC,13
BrCCCCCBr | CCOC(=O)CC,18
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C | CCCCCCC,1
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1 | c1ccncc1,32
CCCCO | CCCCCCC,38
CC1CCCCC1 | CN(C)C=O,17
C1CCOCC1 | CCCCCCCCCCO,9
CCOC(C)=O | ClCCCl,19
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCC,19
OCCOCCO | CCO,17
