Mixture,Count
C=C(C)CC(C)(C)C | CO,10
COc1ccccc1 | OCCc1ccccc1,17
C1COCCO1 | O=C1CCCCC1,34
CCCCCC | COC(C)(C)C,19
C1COCCN1 | C1CCCCC1,9
COC(C)=O | CCCC(=O)OC | CCCCCCCC,53
CCCCC(=O)OC | CC(C)CC(C)(C)C,18
CCO | CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,45
C1CCOCC1 | Cc1ccncc1,18
CCCOC=O | ClCCCCCl,15
CCO | CC(=O)OC(C)=O | CC(=O)O,19
CCOC(=O)OCC | CCCO,16
CC#N | CCCOCCC(C)C,63
CCCCCCC | CCCOC(=O)CC,17
CCCCO | CCCCN(CCCC)CCCC,21
CCCCO | CCCCCC | CCCCN(CCCC)CCCC,107
CCO | c1ccncc1,12
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCCO,34
COC(=O)CC(C)=O | CCO,52
COC(C)=O | CC(C)O,54
CC(=O)OCCO | OCCO,9
c1ccccc1 | CCC(C)(OC)OC,18
CCOCCOCC | OCc1ccccc1,17
CO | O=CO | Cl.N,20
BrCCCCBr | CCCCOC(=O)CCC,12
CS(C)=O | CC(Cl)(Cl)Cl,17
CCCCO | CCN(CC)CC | CCCCCC,113
CCCC(=O)OC | BrCCCBr,13
CCCCCO | Cc1ccccc1,38
CCCCC(=O)OC | BrCCCCCCBr,13
O=[N+]([O-])c1ccccc1 | CCCCCC,5
c1cc[nH]c1 | CCCCO,41
CCCCCCCCCCC | CCOC(=O)CC,17
CCCCCCCCCC(=O)OC | CCCCCC,19
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | C[N+](=O)[O-],9
CCCCCCCCCC,2
CCCO | C1CCCCC1,37
CCCC(=O)O | Cc1ccccc1,21
C1CCOC1 | CCC(C)(C)C,20
COP(=O)(OC)OC | CO,18
C1COCCO1 | CCCCCCCC,19
CS(C)=O | O=C1CCCCC1,14
C=CCCCCCC | CCCO,9
CC(=O)N(C)C | ClCCCl,23
COC(=O)OC | CC(C)O,91
CC#N | CCCCCCCCO,51
Cc1cccc(C)n1 | CO,12
CCO | CC(C)=O,19
CCCCOCCCC | CCCCCO,19
CCOC(C)=O | CCCCCCCCCC,91
CCOC(C)=O | CCCCCCCC,53
CCCCCO,9
O=[N+]([O-])c1ccccc1 | CCCCCCCC,5
CN1CCCC1=O | ClCCCCCCCl,24
CC(=O)CC(C)C | CCO,10
OCCOCCO | CCO,17
CCCCOC(C)=O | Cc1ccc(C)cc1,10
CC(=O)c1ccccc1 | C1CCCCC1,65
CC(=O)CC(C)=O | CCCCCO,84
CCCCCCC | CCN(CC)CCN,13
CC(=O)N(C)C | CCCCNCCCC,19
CCn1cc[n+](C)c1.N#C[S-] | O,54
O,3
OCCNCCO | O,12
CCCC#N | ClC(Cl)(Cl)Cl,18
CCOC(C)(C)C | CCCCCCC,37
CCCCC,2
OCC(F)(F)F | CCCO,25
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,24
CCCCOCCCC | Cc1ccccc1C,15
CC(C)(C)O | CCOC(=O)CC,30
C1COCO1 | O=C1CCCC1,9
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCC,19
C1CCNCC1,1
CCCCCCCCCCC | CCCCOC(=O)CC,18
CC1CCCCC1 | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13
CCO | OCCOCCOCCO,9
CC(C)(C)O | CCCCOC(C)=O,33
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,18
BrCBr | c1ccoc1,8
BrCCCBr | CCOC=O,15
CCOc1ccccc1 | OCCCc1ccccc1,17
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CN(C)C=O,28
CN1CCCCC1 | CO,12
c1ccccc1 | ClCCCc1ccccc1,12
COCOC | C1CCCCC1,16
CC(C)O | C1CCCCC1,9
CCCCC(=O)OCC | BrCCCBr,21
CCCCCC | C1CCCCC1,33
NCCOCCO | O,22
O=C1CCCCC1 | CCCCCCCCC,15
CCOC(C)(C)C | CC#N,9
CCCO | CC(C)CC(C)(C)C,51
BrCCBr | CCOC(C)=O,17
C=CCCCC | CCCCOC,9
CO | CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CN(C)C=O | CCCCN,20
CCCCCO | CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,79
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F | CCO,32
CCCCCCCC | Cc1cncc(C)c1,11
CCCCCCO | CCCCCCC(C)=O,68
CCCCCOC(C)=O | CCCCCCCCCCCCCCC,16
NCCCN1CCOCC1 | O,36
