Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
6870,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.2347,,COC(C)=O,Solvent,0.7653,,0.173,,10.1021/acs.jced.5b00813
6871,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.5055,,COC(C)=O,Solvent,0.4945,,0.238,,10.1021/acs.jced.5b00813
6872,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7339,,COC(C)=O,Solvent,0.2661,,0.178,,10.1021/acs.jced.5b00813
6876,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.226,,COC(C)=O,Solvent,0.774,,0.102,,10.1021/acs.jced.5b00813
6877,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.4822,,COC(C)=O,Solvent,0.5178,,0.151,,10.1021/acs.jced.5b00813
6878,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,0.122,,10.1021/acs.jced.5b00813
6882,298.15,101.325,Liquid,2,CCCO,Solvent,0.7302,,O=Cc1ccccc1,Solvent,0.2698,,1.3784,,10.1016/j.jct.2011.05.014
6883,298.15,101.325,Liquid,2,CCCO,Solvent,0.5178,,O=Cc1ccccc1,Solvent,0.4822,,1.6361,,10.1016/j.jct.2011.05.014
6884,298.15,101.325,Liquid,2,CCCO,Solvent,0.2374,,O=Cc1ccccc1,Solvent,0.7626,,1.2579,,10.1016/j.jct.2011.05.014
6888,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.314,,c1ccccc1,Solvent,0.686,,0.5893,,10.1016/j.fluid.2013.10.029
6889,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.494,,c1ccccc1,Solvent,0.506,,0.609,,10.1016/j.fluid.2013.10.029
6890,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8208,,c1ccccc1,Solvent,0.1792,,0.3441,,10.1016/j.fluid.2013.10.029
6894,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.9248,,c1cc[nH]c1,Solvent,0.0752,,0.7315,,10.1016/j.fluid.2013.10.029
6895,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.495,,c1cc[nH]c1,Solvent,0.505,,1.4275,,10.1016/j.fluid.2013.10.029
6896,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2818,,c1cc[nH]c1,Solvent,0.7182,,1.245,,10.1016/j.fluid.2013.10.029
6900,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.2416,,O,Solvent,0.7584,,-6.523,,10.1016/j.jct.2015.04.030
6901,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.501,,O,Solvent,0.499,,-5.417,,10.1016/j.jct.2015.04.030
6902,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.702,,O,Solvent,0.298,,-3.393,,10.1016/j.jct.2015.04.030
6906,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.2617,,OCc1ccccc1,Solvent,0.7383,,-0.3853,,10.1021/je0504212
6907,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.5154,,OCc1ccccc1,Solvent,0.4846,,-0.4578,,10.1021/je0504212
6908,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.7613,,OCc1ccccc1,Solvent,0.2387,,-0.3019,,10.1021/je0504212
6912,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.2411,,c1ccccc1,Solvent,0.7589,,0.6303,,10.1016/j.fluid.2006.04.016
6913,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.4786,,c1ccccc1,Solvent,0.5214,,0.4912,,10.1016/j.fluid.2006.04.016
6914,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.7336,,c1ccccc1,Solvent,0.2664,,0.2326,,10.1016/j.fluid.2006.04.016
6918,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.1998,,O,Solvent,0.8002,,-2.514,,10.1016/j.jct.2015.04.030
6919,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.5019,,O,Solvent,0.4981,,-2.706,,10.1016/j.jct.2015.04.030
6920,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.8001,,O,Solvent,0.1999,,-1.26,,10.1016/j.jct.2015.04.030
6924,298.2,101.3,Liquid,2,CCOC(=O)CC(=O)OCC,Solvent,0.2515,,CO,Solvent,0.7485,,1.083,,10.1021/je9003806
6925,298.2,101.3,Liquid,2,CCOC(=O)CC(=O)OCC,Solvent,0.4993,,CO,Solvent,0.5007,,1.426,,10.1021/je9003806
6926,298.2,101.3,Liquid,2,CCOC(=O)CC(=O)OCC,Solvent,0.7453,,CO,Solvent,0.2547,,1.184,,10.1021/je9003806
6930,298.2,101.3,Liquid,2,CC(C)O,Solvent,0.7506,,CCOC(=O)CC(=O)OCC,Solvent,0.2494,,1.955,,10.1021/je9003806
6931,298.2,101.3,Liquid,2,CC(C)O,Solvent,0.4997,,CCOC(=O)CC(=O)OCC,Solvent,0.5003,,2.369,,10.1021/je9003806
6932,298.2,101.3,Liquid,2,CC(C)O,Solvent,0.2492,,CCOC(=O)CC(=O)OCC,Solvent,0.7508,,1.804,,10.1021/je9003806
6936,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.7516,,CCOC(=O)CC(=O)OCC,Solvent,0.2484,,2.053,,10.1016/j.fluid.2009.11.030
6937,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.5019,,CCOC(=O)CC(=O)OCC,Solvent,0.4981,,2.542,,10.1016/j.fluid.2009.11.030
