Mixture,Count
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCCO,11
COC=O | BrCCCCCBr,15
CCCOC=O | ClCCCl,15
CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
CCCC(=O)OC[C@@H]1CO1,1
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,102
CN1CCOCC1 | O,12
CCCC(C)C,3
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCO,29
ClCCCCl | CCCOC=O,14
CCCC[N+]1(C)CCCC1.N#C[N-]C#N,27
CCCCC(=O)OCC | ClCCCCCCl,15
CCCCC(=O)OC(=O)CCCC,1
CS(C)=O | CCCO,36
CCCCCOC=O | ClCCCCCCCl,14
CCCC(=O)OC | BrCCBr,15
CCCCCCCCCCO,2
CN1CCOCC1,1
CCOC(C)=O | CCCCCCCC,69
CC(=O)OCCO,13
CCOC(=O)C(C)C | CCO,22
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
CCCCOCCCC,11
CCCC(=O)OCC | BrCCBr,13
BrCCBr | CCCCOC(C)=O,16
O=C1CCCCCC1,5
CCOC(C)=O,36
CCCCC(=O)OC | CC(C)CC(C)(C)C,16
ClCCCCCCl | CCCOC=O,12
C1COCCO1,12
CCC(C)(C)O,1
Cc1ccccc1Cl | C1CCOCC1,54
COC(=O)OC | CCCCCC,63
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F,10
CCCCCCCCCCCCCCC,1
C[N+](=O)[O-],14
CCCCCCCC(=O)O,1
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccncc1,72
CCOC(C)=O | CCCCCC,67
CCOC(=O)C(C)C | CO,22
CCCCC(=O)OC | BrCCCCCCBr,13
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | O,31
CCCC(=O)OC | BrCCCCCCBr,14
CC(C)OC(C)C | CC(C)CC(C)(C)C,11
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,60
C1CCOC1 | CCCCCCCCCO,9
COC=O | ClCCCCCl,16
C1CCOC1 | CCO,11
CCOC(=O)OCC | CCO,45
CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1 | O=[N+]([O-])[O-].[Li+] | O,28
CC(=O)N(C)C,3
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,2
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,164
COC(=O)CC(C)=O,6
CCCCC(=O)OC | BrCCCCBr,12
CCOC(=O)CC,3
CCCCOC=O,35
CCCO | CC(C)CC(C)(C)C,13
CCOC=O | ClCCCCCl,31
CCCC(=O)OCC | ClCCCl,16
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCCCC,19
COC(=O)OC | CCCCCCCC,62
CCCCCOC=O | ClCCCCCl,16
BrCCBr | CCOC(C)=O,13
C1COCCO1 | CCCC(C)=O,17
CCCCOC=O | CCCCCC,60
CCCCn1cc[n+](C)c1.N#C[N-]C#N | O,24
COC(C)=O | CCCC(=O)OC | CC(C)CC(C)(C)C,77
CCCC(=O)OC[C@H]1CO1,1
Cn1ccnc1 | CCCO,55
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
COC(C)(C)C | CCCCO | CCCCCCCC,195
BrCCCCBr | CCCCOC(=O)CCC,13
CCCCC(=O)OCC | BrCCCCCBr,15
Cc1cccc(C)n1 | CO,10
ClCCCl | CCCOC(C)=O,16
Cc1ccccc1N,4
ClCCCCl | CCCOC(=O)CCC,15
C=C(C)CC(C)(C)C,1
CCCCOC=O | CCCCCCCC,76
CCCCC(=O)OC | COC=O,17
COC=O | ClCCCl,16
CCOCCOCCOCC,1
CCCCOC(C)=O | ClCCCCl,13
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N | O,35
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,8
BrCCCCCBr | CCCCOC(=O)CCC,15
CCCCCO | C=C(C)[C@H]1CC=C(C)CC1,88
c1ccncc1,51
Clc1ccccc1,2
C1CCOCC1 | O=C1CCCCCC1,72
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],72
CCCCC(=O)OC | COC=O | CO,79
CCOC=O | ClCCCl,31
CCCC(=O)OCC | BrCCCCCCBr,12
CO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19
COC=O | BrCCBr,14
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N,8
CCCCCOC=O | ClCCCl,16
C1CCOC1 | CCCCCCCO,9
CCCCOC(=O)CCC,3
ClCCCCCCCl | CCCOC(=O)CC,12
CCCOC=O | ClCCCCCCl,15
BrCCCCCCBr | CCOC(=O)CC,14
CCCCCC(=O)CC,1
O | CC(=O)C(C)=O,64
CCO | CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,44
CCCOC=O | CCCCCC,58
C1CCOCC1 | CCCCO,40
CCCCCCCCCC,45
CCCCCCCCCCCCC,1
CCCCC(=O)OCC | ClCCCCCCCl,12
C1COCO1 | CCCC(C)=O,18
Cc1cccnc1 | CO,10
CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,7
CCCCC(=O)OC,9
CCCCCCCC,60
CCCCn1cc[n+](C)c1.N#C[N-]C#N,10
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,48
CCOCCO,4
ClCCCCCCl | CCCOC(=O)CCC,12
Cn1ccnc1 | CC(C)O,55
C1COCO1,10
CCCC(=O)OC | CCCCCCCC,21
CCCCC(=O)OC | CCCCCCC,16
C1CCOC1 | CCCO,11
COC(C)=O | BrCCCCCCBr,14
CCCOC=O | CCCCCCCC,76
CCCCCCC(C)=O,2
CCCCNCCCC,2
COC=O | ClCCCCCCl,16
Cc1ccccc1Cl | C1COCCO1,54
CC(C)OC(C)C,3
CCCCCCN,1
CCCCCCCCCC | CCCOC=O,64
CCCC(=O)OC,14
CNc1ccccc1,4
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],44
CCCC(=O)OCC,2
COCCO,2
CCCCCOC=O | ClCCCCCCl,14
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CO,22
OCCOCCOCCO,4
CCCCOC(C)=O | ClCCCCCl,16
CCCOC(C)=O | CCCCCCCCC,64
CCCCCCCl,2
CC(C)OC(C)C | CCO | CC(C)CC(C)(C)C,66
C=CCCCC,3
CCCCC(=O)OC | BrCCCBr,16
COc1ccccc1,2
CCC(C)(C)C,2
CCCCC | CCOC=O,30
O | CC/C=C\CCO,35
CCCCCCCCCC | CCOC=O,64
CC(C)O,13
CN1CCCCC1 | CO,12
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],90
ClCCCCCl | CCCOC=O,13
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCO,24
CCCCCCCCCCCCCCCC,6
CCCCC | CCCOC=O,29
CCC(=O)OC | CCCCCCC,15
CC1CCCCC1,2
CCOc1ccccc1,1
COC(C)=O,9
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,18
BrCCBr,1
ClCCCCl,1
CCCNCCC,2
Cc1ccccc1Cl,6
CCOC(C)(C)CC,3
COC=O | CCCCCC,32
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,90
Cc1ccccc1N | c1ccncc1,54
CCOC=O | ClCCCCCCl,32
COC=O | CCCCCCCCC,38
OCCO,3
CCOC=O | CCCCCC,55
CCCCOC=O | BrCCCCBr,13
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,117
C1CCOCC1 | CCCC(C)=O,17
C1COCCO1 | O=C1CCCCCC1,72
CCOC=O | CCCCCCCCC,76
CCOC(=O)CC | ClCCCCl,14
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,72
CCCCOC=O | ClCCCCl,28
CCCC(=O)OCC | ClCCCCl,15
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CCO,24
CCCCOC(C)=O | ClCCCCCCl,11
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,72
COC=O | CCCCCCCC,38
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
CCOC(=O)C(=O)OCC,8
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCOCCO,21
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,89
C[C@H](NCc1ccccc1)c1ccccc1,1
CCCCOC(=O)CCC | ClCCCCl,16
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCO,15
CCCCOC(=O)CC,4
CCOC=O | CCCCCCCC,76
CCCC(=O)OC | CC(C)CC(C)(C)C,19
C1COCCO1 | CCCCCC(C)=O,17
CCCCCC,52
CS(C)=O | OCCc1ccccc1,12
Cc1ccccc1 | CCCCCCC,15
c1cc[nH]c1 | c1ccncc1,75
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCOC,21
C1CCOC1 | OCC(F)(F)F,29
COC(C)=O | CCCCC(=O)OC | CC(C)CC(C)(C)C,80
ClCCCCCl | CCCOC(=O)CCC,11
COCOC,1
Cc1ccncc1 | CO,10
BrCCCCBr | CCOC=O,13
BrCCCCBr | CCOC(C)=O,14
CCOC(=O)OCC | CCCCCCCCO,44
CCOC(C)=O | CCCCCCCCCC,68
CCCCC(=O)OCC | BrCCCCCCBr,12
OCCOCCOCCO | OCc1ccccc1,12
ClCCCCCCl,1
OCC(F)(F)F | CCO,22
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,13
O,399
CCCCOC=O | CCCCCCC,76
CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18
CN1CCOCC1 | CO,12
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,18
O=C1CCCC1,1
CCn1cc[n+](C)c1.F[B-](F)(F)F | c1ccncc1,72
CCCCC(=O)OCC | BrCCCCBr,13
OCC(F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,54
C=C(C)[C@H]1CC=C(C)CC1,16
COC(=O)OC,32
BrCCCCCBr | CCOC=O,10
