Mixture,Count
CCC(C)(C)C,2
CCCCC(C)=O | O,36
COC(C)=O | BrCCCBr,16
CO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
CCCCCCCO,1
BrCCCCBr | CCOC(=O)CC,12
CCCC(=O)OCC | ClCCCCCCl,15
COC=O | BrCCCCCBr,15
CCCCCCCCO,9
COC=O | ClCCCCCCCl,16
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,72
CCCCOCCCC,11
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],44
COCCOCCOC,2
CCCCC | CCOC=O,30
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,13
CCOC(C)(C)CC | CCC#N,9
CN1CCOCC1,1
OCC(F)(F)F | CCO,22
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1,72
CCOC=O | CCCCCCCCC,76
CC(C)OC(C)C | CCO | CC(C)CC(C)(C)C,66
CCCOCCC(C)C,8
CCOC(=O)OCC | CCCO,50
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,110
C1CCOCC1 | CCCC(C)=O,17
BrCCCCCCBr | CCCCOC(=O)CC,14
OCC(F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,54
CCCOC=O | ClCCCl,15
BrCCCBr | CCCCOC(C)=O,15
COCCO,2
BrCCBr | CCCCOC(=O)CC,14
CCO | CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,264
COC=O | CCCCCCCC,38
CCCCCOC=O | ClCCCCCl,16
CCOC(C)(C)C | CCC#N,9
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | C[N+](=O)[O-],114
CCCCOCC(C)C,8
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,29
CCCCCCC,90
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,117
CCCCN,1
COC(C)=O | CCCCC(=O)OC,17
COC=O | ClCCCCCCl,16
C1CCOC1 | CCCO,11
CCCOC(=O)CC,11
C1CCOCC1 | OCC(F)(F)F,27
C1CCOC1 | CCCCCCO,9
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,18
CCC(=O)OC | CCCCCCC,15
ClCc1ccccc1,1
Cc1ccccc1N,4
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccncc1,72
Cc1ccccc1Cl | C1COCO1,54
CO,47
C1CCOCC1 | Cc1ccncc1,54
Cc1ccccc1N | c1ccncc1,54
CCCCC(=O)OCC,2
CCCCC | COC=O,20
CCCCC(=O)OC | BrCCBr,15
CCCCCOC(C)=O,1
BrCCCCBr | CCCCOC(=O)CC,15
CCOC(C)=O | CCCCC(=O)OCC,16
C=CCCCCCC,1
CCCCC | CCCOC=O,29
CCCC(=O)OCC,2
CN1CCOCC1 | O,12
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,122
CCOC(C)=O | ClCCCCCCCl,16
COC(C)=O | CCCCCCCC,22
Cc1cccc(C)n1,1
COC(=O)[C@@H](C)CO,1
ClCCCCCCCl | CCCOC(=O)CC,12
CCCCC(=O)OC | BrCCCCBr,12
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
Cn1ccnc1 | CCCO,55
CCCC(=O)OCC | ClCCCCCl,14
CC(C)=O,8
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,28
C[C@H](N)c1ccccc1,1
CCCOCCC,2
C[n+]1ccn(CCO)c1.O=C([O-])C(F)(F)F,7
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCCCC,19
COC=O | CCCCCCC,53
COC(C)=O | BrCCCCCBr,14
CCCCC(=O)OCC | ClCCCCCl,16
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,72
CCCCC(=O)OC | COC=O | CO,79
Cn1ccnc1 | CO,65
COCCOC,3
CCCCO | CC(C)CC(C)(C)C,13
CCCc1ccccc1,1
ClC(Cl)C(Cl)Cl,2
C1CCOCC1 | O=C1CCCCC1,72
ClCCCCCl | CCCOC(=O)CC,15
C1CCOC1 | CO,9
CCn1cc[n+](C)c1.F[B-](F)(F)F,53
CCCCCCCCCCCC | CCOC(C)=O | CCCCC(=O)OCC,42
CCOC(=O)C(C)C,10
COC(C)=O,9
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,108
Cc1cccc(C)c1,3
OCCOCCOCCOCCO | OCc1ccccc1,12
CCC(=O)OC | BrCCCCCCBr,16
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCO,17
CCCCCCCCCl,2
ClCCCCl,1
CCOC(C)=O | ClCCCCCCl,15
Cc1ccncc1,12
CCOc1ccccc1 | OCc1ccccc1,12
CCCC#N,1
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,84
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,60
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,18
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | C[N+](=O)[O-],78
CCOC(=O)C(C)C | CCCCO,22
C1CCOCC1 | c1ccncc1,54
CCCOC=O | ClCCCCl,16
CCCCO | CCC(C)=O,15
COCCOCCO,2
CS(C)=O | CCCO,36
CCCCOC=O | ClCCCCCl,29
COC(C)=O | CCCC(=O)OC,19
BrCCBr | CCCCOC(C)=O,16
COC(=O)OC | CCCCCCC,61
CCCCC(=O)OC | CO,18
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCOC,21
ClCCCCCCCl | CCCOC(C)=O,12
Cc1cccc(C)n1 | O,12
COc1ccccc1 | OCCc1ccccc1,12
BrCCCCCCBr | CCCCOC(=O)CCC,16
CCCCCC(=O)OC(=O)CCCCC,1
COC(C)=O | CCCCCCC,16
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,164
C1CCOCC1 | CCCCCCCCO,11
Cc1ccccc1,10
CCCCCO,40
