Mixture,Count
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCOC,35
CCCCC(=O)OCC | ClCCCCCCl,32
OCCOCCO | OCc1ccccc1,29
OCC(F)(F)F | CCO,51
BrCCCBr | CCCCOC(C)=O,27
CCCC(=O)OC | CC(C)CC(C)(C)C,36
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,29
C1COCO1 | O=C1CCCC1,26
OCCOCCOCCO | OCc1ccccc1,29
Cn1ccnc1 | CCO,66
COC(C)=O | CCCCCCC,34
BrCCCCCCBr | CCOC=O,27
ClCCCl | CCCOC(C)=O,29
CCn1cc[n+](C)c1.N#C[N-]C#N | O,118
COC=O | BrCCCCCCBr,29
CCCCC(=O)OCC | ClCCCCCCCl,29
CCCCCCCCCC | CCCOC=O,97
COC=O | CCCCCCCCC,58
ClCCCCCl | CCCOC(C)=O,26
COC=O | CCCCCC,49
C1CCOC1 | OCC(F)(F)F,62
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccccn1,90
CCOC=O | ClCCCCCl,46
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,90
CCCOC(C)=O | CCCCCCC,96
CCCCCOC=O | ClCCCCCl,30
CCCCC(=O)OCC | BrCCCCCBr,31
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccncc1,90
CC(C)OC(C)C | CCO,30
CCCOC=O | ClCCCCCl,31
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],67
BrCCCCBr | CCOC(C)=O,30
CCCCC(=O)OCC | BrCCCCBr,27
BrCCCCBr | CCCCOC(=O)CC,27
CCOc1ccccc1 | OCc1ccccc1,29
CCCCC(=O)OC | BrCCCBr,28
CCCCOC=O | CCCCCCC,106
CCCCC(=O)OCC | BrCCBr,29
CCOC=O | ClCCCCl,48
COC(C)=O | CCCCCCCC,38
Cc1cccnc1 | O,24
CCCCCOC=O | ClCCCCl,28
CCOC(C)=O | ClCCCCCl,34
BrCCCBr | CCOC(C)=O,31
BrCCCBr | CCCCOC(=O)CC,27
C1CCOCC1 | CCCCCCCCCO,18
CCCOC=O | ClCCCCl,31
CCOC=O | ClCCCCCCl,47
CCCCCC | Cc1ccccc1,33
C1CCOCC1 | CCCC(C)=O,34
COC(C)=O | CCCCC(=O)OC,31
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,142
CCCCCOC=O | ClCCCCCCl,28
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,67
CCCOC=O | ClCCCCCCl,30
CCOC(=O)C(C)C | CCCCO,44
CCC(=O)OC | BrCCCBr,33
CCOC(C)=O | CCCCC(=O)OCC,31
CO | CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,26
C1CCOCC1 | CCCCCC(C)=O,35
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCO,34
O | CC(=O)C(C)=O,130
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | C[N+](=O)[O-],123
COC(C)=O | BrCCCCCCBr,29
ClCCCCCCl | CCCOC(C)=O,27
COC(=O)OC | CCCCCCCC,79
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CO,63
