Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
816d57601de04486a45f5d3eb4e6225e,298.15,101.0,Liquid,2,COC=O,Solvent,0.1002,,ClCCCCCl,Solvent,0.8998,,,,,,1.1231400000000005,0.00028500000000000004,10.1016/j.jct.2006.10.008
7fac0513af754db98e9a3ac46f2da156,298.15,101.0,Liquid,2,COC=O,Solvent,0.1967,,ClCCCCCl,Solvent,0.8033,,,,,,1.1122200000000002,0.00027000000000000006,10.1016/j.jct.2006.10.008
4855b8133a184ad6ac821a9fa6286b5a,298.15,101.0,Liquid,2,COC=O,Solvent,0.2763,,ClCCCCCl,Solvent,0.7237,,,,,,1.1021500000000004,0.0002600000000000001,10.1016/j.jct.2006.10.008
1eb1e43d20fd44a0b7ad12f2f909add4,298.15,101.0,Liquid,2,COC=O,Solvent,0.3523,,ClCCCCCl,Solvent,0.6476999999999999,,,,,,1.0921600000000002,0.00025000000000000006,10.1016/j.jct.2006.10.008
72a98c9cff0f4536ade2962998927c1b,298.15,101.0,Liquid,2,COC=O,Solvent,0.4263,,ClCCCCCl,Solvent,0.5737,,,,,,1.0816900000000003,0.00024000000000000006,10.1016/j.jct.2006.10.008
e7b47092402949b996071192e80452c7,298.15,101.0,Liquid,2,COC=O,Solvent,0.4898,,ClCCCCCl,Solvent,0.5102,,,,,,1.0720500000000002,0.00023000000000000006,10.1016/j.jct.2006.10.008
d69605a5b1294db89e422bea44d3466c,298.15,101.0,Liquid,2,COC=O,Solvent,0.5567,,ClCCCCCl,Solvent,0.4433,,,,,,1.0612300000000003,0.00022000000000000006,10.1016/j.jct.2006.10.008
e6bf324395dc41488ff9677f4c2e652c,298.15,101.0,Liquid,2,COC=O,Solvent,0.615,,ClCCCCCl,Solvent,0.385,,,,,,1.0513000000000001,0.00021000000000000004,10.1016/j.jct.2006.10.008
88e1be0709f8466392561ec58ee88292,298.15,101.0,Liquid,2,COC=O,Solvent,0.6692,,ClCCCCCl,Solvent,0.3308,,,,,,1.0414100000000004,0.00020000000000000006,10.1016/j.jct.2006.10.008
c063487b0622471db19ad0bb5fcc5b8d,298.15,101.0,Liquid,2,COC=O,Solvent,0.7199,,ClCCCCCl,Solvent,0.2801,,,,,,1.0317100000000003,0.00019500000000000005,10.1016/j.jct.2006.10.008
6af6c4ae34f04ec884a7059655a1d2ad,298.15,101.0,Liquid,2,COC=O,Solvent,0.7663,,ClCCCCCl,Solvent,0.23370000000000002,,,,,,1.0223400000000002,0.00018500000000000005,10.1016/j.jct.2006.10.008
ed312df780be4933a717da917338f965,298.15,101.0,Liquid,2,COC=O,Solvent,0.8116,,ClCCCCCl,Solvent,0.1884,,,,,,1.0126500000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
a89a43fee5c743ddb0b0654a98847388,298.15,101.0,Liquid,2,COC=O,Solvent,0.8535,,ClCCCCCl,Solvent,0.14649999999999996,,,,,,1.0033600000000003,0.00016500000000000005,10.1016/j.jct.2006.10.008
