Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
4e1b2827e5324c12b1638f266a8ce453,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010489026887088,,[Cl-].[K+],Solvent,0.0175108963056562,,O,Solvent,0.9720000768072558,,0.893,0.0055,10.1016/j.jct.2013.08.018
33e1ef5466cc47a7a08733d598848915,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0141144123489537,,[Cl-].[K+],Solvent,0.0174467396155175,,O,Solvent,0.9684388480355288,,0.895,0.0055,10.1016/j.jct.2013.08.018
2f004ed9ce4f4ae687b56e2db931e00c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0174400510605954,,[Cl-].[K+],Solvent,0.0173878873984002,,O,Solvent,0.9651720615410044,,0.898,0.0055,10.1016/j.jct.2013.08.018
8dfa73389c054dd1bf5fe7c04c5f745f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0209129989840834,,[Cl-].[K+],Solvent,0.0173264283215273,,O,Solvent,0.9617605726943892,,0.895,0.0055,10.1016/j.jct.2013.08.018
6f589b35e217420b89d7e403c6687f8f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0240244702750029,,[Cl-].[K+],Solvent,0.0172713661214974,,O,Solvent,0.9587041636034996,,0.893,0.0055,10.1016/j.jct.2013.08.018
8f76eb8303984f45923b7cf9e71615dc,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0276686577359947,,[Cl-].[K+],Solvent,0.0172068767014892,,O,Solvent,0.955124465562516,,0.892,0.0055,10.1016/j.jct.2013.08.018
97b791459f4e4380b2ba566b904b4b4a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0309867224418155,,[Cl-].[K+],Solvent,0.0171481585178835,,O,Solvent,0.9518651190403008,,0.889,0.0055,10.1016/j.jct.2013.08.018
325137e12c8c4070ba1c1b9de8936413,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0342161981189045,,[Cl-].[K+],Solvent,0.0170910080514008,,O,Solvent,0.9486927938296946,,0.885,0.0055,10.1016/j.jct.2013.08.018
221a262affd84916ab48ce68651b1ab6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0371453938559213,,[Cl-].[K+],Solvent,0.0170391714935418,,O,Solvent,0.9458154346505367,,0.902,0.0055,10.1016/j.jct.2013.08.018
05c29a644a0b4b94aaeed7e9cb557ac1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0440194013836654,,[Cl-].[K+],Solvent,0.0169175255125539,,O,Solvent,0.9390630731037808,,0.892,0.0055,10.1016/j.jct.2013.08.018
ff96fc29a55a4dc49ede42595a61ad97,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0502375742203653,,[Cl-].[K+],Solvent,0.0168074855203631,,O,Solvent,0.9329549402592716,,0.888,0.0055,10.1016/j.jct.2013.08.018
0c2c59625b434bf48f5d2fbd61f81752,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0512747768294498,,O,Solvent,0.9487252231705502,,,,,,0.938,0.005,10.1016/j.jct.2013.08.018
a2312ff86bd940d496baae537366d31b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876,,[Cl-].[K+],Solvent,0.05110010041314,,O,Solvent,0.9454932262259838,,0.938,0.005,10.1016/j.jct.2013.08.018
908df4324477456ebfd83806d120be9b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0067564929950909,,[Cl-].[K+],Solvent,0.0509283391589768,,O,Solvent,0.9423151678459324,,0.938,0.005,10.1016/j.jct.2013.08.018
62ff5614311c43cbae048ac6165588a2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0101173648996225,,[Cl-].[K+],Solvent,0.0507560112021195,,O,Solvent,0.939126623898258,,0.941,0.005,10.1016/j.jct.2013.08.018
c619ac6d084f407aa408cd788b4b2f22,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0135387355638148,,[Cl-].[K+],Solvent,0.0505805811848623,,O,Solvent,0.9358806832513228,,0.932,0.005,10.1016/j.jct.2013.08.018
9ff87b29f47b44cc9d799214c6be0591,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0168869817047571,,[Cl-].[K+],Solvent,0.0504089006112154,,O,Solvent,0.9327041176840272,,0.93,0.005,10.1016/j.jct.2013.08.018
8078d78eda99433e8d9be7c22345e6db,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0200977085240385,,[Cl-].[K+],Solvent,0.0502442713100964,,O,Solvent,0.9296580201658649,,0.944,0.005,10.1016/j.jct.2013.08.018
365f99df88c642b78afbdd190c8e712a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0233364439375446,,[Cl-].[K+],Solvent,0.0500782058745592,,O,Solvent,0.926585350187896,,0.934,0.005,10.1016/j.jct.2013.08.018
54dd5ecaca22426585039f31553c3af9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0270232967967097,,[Cl-].[K+],Solvent,0.0498891633170025,,O,Solvent,0.9230875398862878,,0.938,0.005,10.1016/j.jct.2013.08.018
09d52d08d82346a883140e5c7f76c66f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0298948955614492,,[Cl-].[K+],Solvent,0.0497419227311968,,O,Solvent,0.920363181707354,,0.931,0.005,10.1016/j.jct.2013.08.018
67e0fd29879e43189347391188c589c9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0332610174653823,,[Cl-].[K+],Solvent,0.0495693255817919,,O,Solvent,0.9171696569528256,,0.942,0.005,10.1016/j.jct.2013.08.018
d1388731b42e48e49ab2ab09d9d18e3c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0411037709624741,,[Cl-].[K+],Solvent,0.0491671901465001,,O,Solvent,0.9097290388910256,,0.931,0.005,10.1016/j.jct.2013.08.018
d9962b0fdb534c2bbd6fa23b1e78596b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0489439903254154,,[Cl-].[K+],Solvent,0.0487651846483714,,O,Solvent,0.902290825026213,,0.941,0.005,10.1016/j.jct.2013.08.018
fe9f609aeb55443387e4adf4f6fac6c2,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389116,,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
a1ff37736df4480899412b72322697ef,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070911550867692,,O=[N+]([O-])[O-].[Na+],Solvent,0.0088639438584616,,O,Solvent,0.9840449010547692,,0.883,0.0055,10.1016/j.jct.2013.08.018
ed09ab819e874cb6b2e62ec05c1bb6df,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0140824493412581,,O=[N+]([O-])[O-].[Na+],Solvent,0.0088015308382863,,O,Solvent,0.9771160198204556,,0.872,0.0055,10.1016/j.jct.2013.08.018
8d056d1cfbea450e995ddf552ed6373f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0226843234075274,,O=[N+]([O-])[O-].[Na+],Solvent,0.0087247397721259,,O,Solvent,0.9685909368203466,,0.873,0.0055,10.1016/j.jct.2013.08.018
82ea0b5dc3eb45219ad21098b023505e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0311373974893773,,O=[N+]([O-])[O-].[Na+],Solvent,0.0086492770803826,,O,Solvent,0.96021332543024,,0.854,0.0055,10.1016/j.jct.2013.08.018
59514fea025341a68e60dda472372061,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0176965155328884,,O,Solvent,0.9823034844671116,,,,,,0.865,0.0055,10.1016/j.jct.2013.08.018
f2868a6f024b4e5080b1910b53c1b1ca,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403,,O=[N+]([O-])[O-].[Na+],Solvent,0.0176341030970154,,O,Solvent,0.9788390762835814,,0.86,0.0055,10.1016/j.jct.2013.08.018
3287cc58104e404c8814d96466c03078,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070288517395603,,O=[N+]([O-])[O-].[Na+],Solvent,0.0175721293489009,,O,Solvent,0.9753990189115388,,0.85,0.0055,10.1016/j.jct.2013.08.018
64bc26efe64248c58d5b192f7794c88b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0139595836354015,,O=[N+]([O-])[O-].[Na+],Solvent,0.0174494795442519,,O,Solvent,0.9685909368203466,,0.861,0.0055,10.1016/j.jct.2013.08.018
cc9481dffb3c445c8af473bc46b9f9be,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0176965155328884,,O,Solvent,0.9823034844671116,,,,,,0.854,0.0055,10.1016/j.jct.2013.08.018
