Mixture,Temperature,Pressure,Count
Cc1cccc(C)n1 | CO,298.15,101.0,10
CO,288.15,101.325,47
CO,328.15,98.0,47
CO,298.15,100.0,47
CO,288.15,98.0,47
CO,308.15,101.325,47
CO,323.15,101.325,47
CO,308.15,98.0,47
CO,338.15,101.325,47
CO,303.15,101.325,47
CO,318.15,101.325,47
CO,283.15,101.325,47
CO,318.15,98.0,47
CO,323.15,100.0,47
CO,298.15,101.325,47
CO,333.15,101.325,47
CO,313.15,101.325,47
CO,293.15,101.325,47
CO,298.15,98.0,47
CO,298.15,101.0,47
CO,303.15,100.0,47
CO,328.15,101.325,47
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,12
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,2
CO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,7
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,1
CO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,19
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,4
CO | CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,11
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,2
CO | CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,15
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,101.0,2
CC(C)CC(C)(C)C,303.15,101.0,8
CC(C)CC(C)(C)C,298.15,100.0,8
CC(C)CC(C)(C)C,298.15,101.325,8
CCCCC(=O)OC | CCCCCCCC,298.15,100.0,19
CCCC(=O)OC | CCCCCCCC,298.15,100.0,21
COC(C)=O | CCCCCCCC,298.15,100.0,22
CCCCC(=O)OC | CC(C)CC(C)(C)C,298.15,100.0,16
CCCC(=O)OC | CC(C)CC(C)(C)C,298.15,100.0,19
COC(C)=O | CC(C)CC(C)(C)C,298.15,100.0,20
COC(C)=O | CCCCC(=O)OC,298.15,100.0,17
COC(C)=O | CCCC(=O)OC,298.15,100.0,19
COC(C)=O | CCCCC(=O)OC | CCCCCCCC,298.15,100.0,68
COC(C)=O | CCCC(=O)OC | CCCCCCCC,298.15,100.0,98
COC(C)=O | CCCCC(=O)OC | CC(C)CC(C)(C)C,298.15,100.0,80
COC(C)=O | CCCC(=O)OC | CC(C)CC(C)(C)C,298.15,100.0,77
CC#N,293.15,101.325,12
CC#N,298.15,101.0,12
CC#N,308.15,101.325,12
CC#N,303.15,101.325,12
CC#N,298.15,101.325,12
CC#N,323.15,101.325,12
CC#N,318.15,101.325,12
CC#N,313.15,101.325,12
CCC#N,298.15,101.0,4
CCC#N,298.15,101.325,4
CCCC#N,298.15,101.325,1
CCCCC#N,298.15,101.325,1
ClC(Cl)(Cl)Cl,298.1,101.325,2
ClC(Cl)(Cl)Cl,298.15,101.325,2
C1CCOC1 | CO,298.15,101.0,9
C1CCOC1 | CCO,298.15,101.0,11
C1CCOC1 | CCCO,298.15,101.0,11
C1CCOC1 | CCCCO,298.15,101.0,11
C1CCOC1 | CCCCCCO,298.15,101.0,9
C1CCOC1 | CCCCCCCO,298.15,101.0,9
C1CCOC1 | CCCCCCCCO,298.15,101.0,11
C1CCOC1 | CCCCCCCCCO,298.15,101.0,9
C1CCOC1 | CCCCCCCCCCO,298.15,101.0,6
CC(C)=O,293.15,101.325,8
CC(C)=O,298.15,101.3,8
CC(C)=O,308.15,101.325,8
CC(C)=O,303.15,101.325,8
CC(C)=O,298.15,101.325,8
CCC(C)=O,298.15,101.3,7
CCC(C)=O,303.15,101.0,7
CCC(C)=O,303.15,101.325,7
CCC(C)=O,298.15,101.325,7
CCCC(C)=O,288.15,101.325,7
CCCC(C)=O,298.15,101.3,7
CCCC(C)=O,308.15,101.325,7
CCCC(C)=O,298.15,101.325,7
CCCC(C)=O,318.15,101.325,7
CCCCCC(C)=O,298.15,101.3,3
CCCCCC(C)=O,298.15,101.325,3
CCCNCCC,298.15,101.325,2
CCCCNCCCC,298.15,101.325,2
CNc1ccccc1,298.15,101.3,4
CNc1ccccc1,298.15,101.325,4
Nc1ccccc1,298.15,101.3,3
Nc1ccccc1,298.15,101.325,3
CN(C)C=O,313.15,100.0,17
CN(C)C=O,308.15,100.0,17
CN(C)C=O,303.15,100.0,17
CN(C)C=O,298.15,100.0,17
CN(C)C=O,295.15,100.0,17
CN(C)C=O,328.15,100.0,17
CN(C)C=O,323.15,100.0,17
CN(C)C=O,318.15,100.0,17
CN(C)C=O,298.15,101.325,17
CN(C)C=O,333.15,100.0,17
CN(C)C=O,293.15,100.0,17
CC(=O)N(C)C,298.15,101.325,3
CCCCN,298.15,101.325,1
CCCCCCN,298.15,101.325,1
CC(=O)OCCO,343.14,101.325,13
CC(=O)OCCO,333.14,101.325,13
CC(=O)OCCO,328.14,101.325,13
CC(=O)OCCO,323.14,101.325,13
CC(=O)OCCO,318.14,101.325,13
CC(=O)OCCO,313.14,101.325,13
CC(=O)OCCO,308.14,101.325,13
CC(=O)OCCO,303.14,101.325,13
CC(=O)OCCO,298.14,101.325,13
CC(=O)OCCO,283.16,101.325,13
CC(=O)OCCO,288.14,101.325,13
CC(=O)OCCO,293.14,101.325,13
CC(=O)OCCO,338.14,101.325,13
C1CCOCC1 | CCCCCO,298.15,101.0,11
C1CCOCC1 | CCCCCCCCCO,298.15,101.0,9
C1CCOCC1 | CCCCCCCCCCO,298.15,101.0,9
C1CCOCC1 | CCCO,298.15,101.0,9
C1CCOCC1 | CCCCO,298.15,101.3,40
C1CCOCC1 | CCCCO,298.15,101.0,40
C1CCOCC1 | CCCCO,313.15,101.3,40
C1CCOCC1 | CCCCO,283.15,101.3,40
C1CCOCC1 | CCCCCCCO,298.15,101.0,11
C1CCOCC1 | CCCCCCO,298.15,101.0,11
C1CCOCC1 | CCCCCCCCO,298.15,101.0,11
CCCCOCCCC,293.15,101.325,11
CCCCOCCCC,288.15,101.325,11
CCCCOCCCC,308.5,101.325,11
CCCCOCCCC,308.15,101.325,11
CCCCOCCCC,303.15,101.325,11
CCCCOCCCC,298.15,101.325,11
CCCCOCCCC,323.15,101.325,11
CCCCOCCCC,318.15,101.325,11
CCCCOCCCC,313.15,101.325,11
CCOCCO,298.1,101.325,4
CCOCCO,308.5,101.325,4
CCOCCO,298.15,101.325,4
OCCOCCO,308.15,101.325,4
OCCOCCO,308.5,101.325,4
OCCOCCO,298.15,101.325,4
COCCOC,308.15,101.325,3
COCCOC,308.5,101.325,3
COCCOC,298.15,101.325,3
CCOCCOCC,308.15,101.325,3
CCOCCOCC,308.5,101.325,3
CCOCCOCC,298.15,101.325,3
CCOCCOCCO,308.5,101.325,1
OCCOCCOCCO,308.15,101.325,4
OCCOCCOCCO,308.5,101.325,4
OCCOCCOCCO,298.15,101.325,4
CCOCCOCCOCC,308.5,101.325,1
CCOCCOCCOCCO,308.5,101.325,1
OCCOCCOCCOCCO,308.15,101.325,4
OCCOCCOCCOCCO,308.5,101.325,4
OCCOCCOCCOCCO,298.15,101.325,4
OCc1ccccc1,308.15,101.325,8
OCc1ccccc1,308.5,101.325,8
